step,ssim_score,loss
586,2.8790e-01,1.0251e+00
591,2.8850e-01,1.0084e+00
596,2.8900e-01,9.9210e-01
601,2.8950e-01,9.7720e-01
606,2.9000e-01,9.6200e-01
611,2.9050e-01,9.4660e-01
616,2.9110e-01,9.3190e-01
621,2.9150e-01,9.1770e-01
627,2.9210e-01,9.0170e-01
632,2.9260e-01,8.8910e-01
637,2.9320e-01,8.7650e-01
643,2.9370e-01,8.6000e-01
648,2.9430e-01,8.4720e-01
654,2.9490e-01,8.3240e-01
659,2.9530e-01,8.2090e-01
665,2.9590e-01,8.0690e-01
670,2.9640e-01,7.9520e-01
676,2.9710e-01,7.8150e-01
682,2.9750e-01,7.6890e-01
687,2.9790e-01,7.5890e-01
693,2.9850e-01,7.4720e-01
699,2.9900e-01,7.3540e-01
705,2.9950e-01,7.2470e-01
711,3.0000e-01,7.1360e-01
717,3.0050e-01,7.0200e-01
723,3.0110e-01,6.9190e-01
729,3.0160e-01,6.8080e-01
735,3.0210e-01,6.7000e-01
742,3.0280e-01,6.5840e-01
748,3.0330e-01,6.4810e-01
754,3.0380e-01,6.3840e-01
761,3.0440e-01,6.2730e-01
767,3.0500e-01,6.1800e-01
774,3.0550e-01,6.0760e-01
780,3.0600e-01,5.9920e-01
787,3.0660e-01,5.9040e-01
793,3.0700e-01,5.8190e-01
800,3.0750e-01,5.7240e-01
807,3.0810e-01,5.6380e-01
814,3.0860e-01,5.5520e-01
821,3.0920e-01,5.4620e-01
827,3.0960e-01,5.3870e-01
834,3.1010e-01,5.3080e-01
842,3.1080e-01,5.2140e-01
849,3.1130e-01,5.1350e-01
856,3.1180e-01,5.0540e-01
863,3.1230e-01,4.9780e-01
870,3.1280e-01,4.9050e-01
878,3.1330e-01,4.8270e-01
885,3.1370e-01,4.7590e-01
893,3.1430e-01,4.6820e-01
900,3.1480e-01,4.6150e-01
908,3.1520e-01,4.5420e-01
916,3.1580e-01,4.4730e-01
923,3.1610e-01,4.4110e-01
931,3.1660e-01,4.3440e-01
939,3.1720e-01,4.2770e-01
947,3.1770e-01,4.2120e-01
955,3.1820e-01,4.1470e-01
963,3.1860e-01,4.0840e-01
971,3.1910e-01,4.0230e-01
979,3.1960e-01,3.9620e-01
988,3.2010e-01,3.8950e-01
996,3.2060e-01,3.8380e-01
1005,3.2120e-01,3.7710e-01
1013,3.2160e-01,3.7150e-01
1022,3.2220e-01,3.6560e-01
1030,3.2270e-01,3.6010e-01
1039,3.2320e-01,3.5370e-01
1048,3.2370e-01,3.4740e-01
1057,3.2430e-01,3.4150e-01
1066,3.2480e-01,3.3480e-01
1075,3.2540e-01,3.2740e-01
1084,3.2590e-01,3.1970e-01
1093,3.2630e-01,3.1160e-01
1102,3.2670e-01,3.0160e-01
1111,3.2700e-01,2.9420e-01
1121,3.2720e-01,2.8830e-01
1130,3.2750e-01,2.8320e-01
1140,3.2800e-01,2.7760e-01
1150,3.2840e-01,2.7210e-01
1159,3.2890e-01,2.6732e-01
1169,3.2940e-01,2.6214e-01
1179,3.2980e-01,2.5722e-01
1189,3.3040e-01,2.5241e-01
1199,3.3090e-01,2.4788e-01
1209,3.3130e-01,2.4333e-01
1219,3.3180e-01,2.3884e-01
1230,3.3230e-01,2.3404e-01
1240,3.3280e-01,2.2999e-01
1251,3.3330e-01,2.2573e-01
1261,3.3380e-01,2.2178e-01
1272,3.3430e-01,2.1790e-01
1283,3.3480e-01,2.1398e-01
1294,3.3520e-01,2.1002e-01
1305,3.3570e-01,2.0645e-01
1316,3.3620e-01,2.0283e-01
1327,3.3670e-01,1.9924e-01
1338,3.3710e-01,1.9583e-01
1349,3.3760e-01,1.9253e-01
1361,3.3810e-01,1.8901e-01
1372,3.3850e-01,1.8585e-01
1384,3.3900e-01,1.8244e-01
1396,3.3950e-01,1.7926e-01
1407,3.3990e-01,1.7654e-01
1419,3.4040e-01,1.7346e-01
1431,3.4080e-01,1.7070e-01
1443,3.4130e-01,1.6802e-01
1456,3.4180e-01,1.6512e-01
1468,3.4210e-01,1.6251e-01
1480,3.4260e-01,1.6003e-01
1493,3.4310e-01,1.5724e-01
1506,3.4360e-01,1.5469e-01
1518,3.4400e-01,1.5232e-01
1531,3.4440e-01,1.4984e-01
1544,3.4480e-01,1.4755e-01
1557,3.4520e-01,1.4523e-01
1570,3.4570e-01,1.4307e-01
1584,3.4610e-01,1.4078e-01
1597,3.4660e-01,1.3862e-01
1611,3.4710e-01,1.3643e-01
1624,3.4750e-01,1.3443e-01
1638,3.4790e-01,1.3228e-01
1652,3.4830e-01,1.3026e-01
1666,3.4880e-01,1.2823e-01
1680,3.4920e-01,1.2637e-01
1694,3.4970e-01,1.2447e-01
1708,3.5010e-01,1.2263e-01
1723,3.5050e-01,1.2077e-01
1738,3.5100e-01,1.1897e-01
1752,3.5140e-01,1.1724e-01
1767,3.5180e-01,1.1545e-01
1782,3.5230e-01,1.1366e-01
1797,3.5270e-01,1.1199e-01
1812,3.5320e-01,1.1031e-01
1828,3.5370e-01,1.0857e-01
1843,3.5410e-01,1.0699e-01
1859,3.5450e-01,1.0533e-01
1874,3.5490e-01,1.0390e-01
1890,3.5540e-01,1.0242e-01
1906,3.5580e-01,1.0086e-01
1922,3.5620e-01,9.9520e-02
1939,3.5670e-01,9.8020e-02
1955,3.5710e-01,9.6630e-02
1972,3.5750e-01,9.5190e-02
1988,3.5790e-01,9.3850e-02
2005,3.5830e-01,9.2530e-02
2022,3.5870e-01,9.1250e-02
2039,3.5920e-01,8.9980e-02
2057,3.5960e-01,8.8700e-02
2074,3.6000e-01,8.7490e-02
2092,3.6040e-01,8.6250e-02
2109,3.6080e-01,8.5120e-02
2127,3.6120e-01,8.3950e-02
2145,3.6160e-01,8.2800e-02
2163,3.6200e-01,8.1690e-02
2182,3.6240e-01,8.0490e-02
2200,3.6280e-01,7.9410e-02
2219,3.6330e-01,7.8260e-02
2237,3.6360e-01,7.7240e-02
2256,3.6400e-01,7.6180e-02
2275,3.6440e-01,7.5140e-02
2295,3.6490e-01,7.4020e-02
2314,3.6530e-01,7.2990e-02
2334,3.6570e-01,7.1960e-02
2354,3.6610e-01,7.1000e-02
2373,3.6650e-01,7.0090e-02
2394,3.6690e-01,6.9120e-02
2414,3.6730e-01,6.8170e-02
2434,3.6760e-01,6.7280e-02
2455,3.6800e-01,6.6390e-02
2476,3.6840e-01,6.5470e-02
2497,3.6880e-01,6.4590e-02
2518,3.6920e-01,6.3710e-02
2539,3.6960e-01,6.2860e-02
2561,3.7000e-01,6.1960e-02
2582,3.7040e-01,6.1140e-02
2604,3.7080e-01,6.0320e-02
2626,3.7120e-01,5.9480e-02
2648,3.7160e-01,5.8660e-02
2671,3.7190e-01,5.7850e-02
2693,3.7230e-01,5.7080e-02
2716,3.7270e-01,5.6310e-02
2739,3.7310e-01,5.5560e-02
2762,3.7350e-01,5.4800e-02
2786,3.7380e-01,5.4050e-02
2809,3.7420e-01,5.3350e-02
2833,3.7460e-01,5.2610e-02
2857,3.7500e-01,5.1880e-02
2881,3.7530e-01,5.1210e-02
2906,3.7570e-01,5.0510e-02
2930,3.7610e-01,4.9830e-02
2955,3.7650e-01,4.9160e-02
2980,3.7680e-01,4.8520e-02
3005,3.7720e-01,4.7880e-02
3031,3.7760e-01,4.7230e-02
3056,3.7800e-01,4.6610e-02
3082,3.7830e-01,4.6000e-02
3108,3.7870e-01,4.5400e-02
3135,3.7910e-01,4.4790e-02
3161,3.7950e-01,4.4200e-02
3188,3.7980e-01,4.3600e-02
3215,3.8020e-01,4.3030e-02
3242,3.8060e-01,4.2480e-02
3270,3.8090e-01,4.1910e-02
3297,3.8130e-01,4.1370e-02
3325,3.8170e-01,4.0840e-02
3353,3.8200e-01,4.0300e-02
3382,3.8240e-01,3.9750e-02
3410,3.8280e-01,3.9270e-02
3439,3.8320e-01,3.8750e-02
3468,3.8350e-01,3.8270e-02
3498,3.8390e-01,3.7770e-02
3527,3.8420e-01,3.7290e-02
3557,3.8460e-01,3.6790e-02
3587,3.8500e-01,3.6330e-02
3618,3.8530e-01,3.5850e-02
3648,3.8570e-01,3.5400e-02
3679,3.8610e-01,3.4940e-02
3710,3.8640e-01,3.4470e-02
3742,3.8670e-01,3.4040e-02
3773,3.8710e-01,3.3610e-02
3805,3.8740e-01,3.3170e-02
3838,3.8780e-01,3.2740e-02
3870,3.8810e-01,3.2330e-02
3903,3.8850e-01,3.1930e-02
3936,3.8880e-01,3.1520e-02
3969,3.8920e-01,3.1140e-02
4003,3.8950e-01,3.0749e-02
4037,3.8990e-01,3.0347e-02
4071,3.9020e-01,2.9965e-02
4105,3.9060e-01,2.9612e-02
4140,3.9090e-01,2.9233e-02
4175,3.9120e-01,2.8877e-02
4210,3.9160e-01,2.8542e-02
4246,3.9190e-01,2.8177e-02
4282,3.9220e-01,2.7823e-02
4318,3.9260e-01,2.7476e-02
4355,3.9290e-01,2.7141e-02
4392,3.9330e-01,2.6812e-02
4429,3.9360e-01,2.6464e-02
4466,3.9390e-01,2.6143e-02
4504,3.9430e-01,2.5821e-02
4542,3.9460e-01,2.5511e-02
4581,3.9490e-01,2.5194e-02
4619,3.9530e-01,2.4892e-02
4659,3.9560e-01,2.4585e-02
4698,3.9590e-01,2.4301e-02
4738,3.9620e-01,2.3989e-02
4778,3.9660e-01,2.3688e-02
4818,3.9690e-01,2.3403e-02
4859,3.9720e-01,2.3097e-02
4900,3.9760e-01,2.2818e-02
4942,3.9790e-01,2.2537e-02
4984,3.9820e-01,2.2250e-02
5026,3.9860e-01,2.1968e-02
5068,3.9890e-01,2.1694e-02
5111,3.9920e-01,2.1439e-02
5154,3.9950e-01,2.1174e-02
5198,3.9990e-01,2.0909e-02
5242,4.0020e-01,2.0654e-02
5286,4.0050e-01,2.0406e-02
5331,4.0080e-01,2.0151e-02
5376,4.0120e-01,1.9904e-02
5422,4.0150e-01,1.9645e-02
5468,4.0180e-01,1.9416e-02
5514,4.0210e-01,1.9177e-02
5561,4.0240e-01,1.8951e-02
5608,4.0270e-01,1.8723e-02
5655,4.0310e-01,1.8497e-02
5703,4.0340e-01,1.8278e-02
5751,4.0370e-01,1.8059e-02
5800,4.0400e-01,1.7837e-02
5849,4.0430e-01,1.7620e-02
5899,4.0460e-01,1.7408e-02
5949,4.0490e-01,1.7197e-02
5999,4.0530e-01,1.6993e-02
6050,4.0560e-01,1.6797e-02
6101,4.0590e-01,1.6593e-02
6153,4.0620e-01,1.6388e-02
6205,4.0650e-01,1.6195e-02
6257,4.0680e-01,1.6006e-02
6310,4.0710e-01,1.5822e-02
6364,4.0740e-01,1.5631e-02
6418,4.0770e-01,1.5443e-02
6472,4.0810e-01,1.5268e-02
6527,4.0840e-01,1.5089e-02
6582,4.0870e-01,1.4913e-02
6638,4.0900e-01,1.4736e-02
6694,4.0930e-01,1.4568e-02
6750,4.0960e-01,1.4398e-02
6808,4.0990e-01,1.4227e-02
6865,4.1020e-01,1.4066e-02
6923,4.1050e-01,1.3903e-02
6982,4.1080e-01,1.3746e-02
7041,4.1110e-01,1.3592e-02
7101,4.1140e-01,1.3434e-02
7161,4.1170e-01,1.3283e-02
7221,4.1200e-01,1.3127e-02
7283,4.1230e-01,1.2973e-02
7344,4.1250e-01,1.2829e-02
7406,4.1280e-01,1.2684e-02
7469,4.1320e-01,1.2533e-02
7532,4.1340e-01,1.2389e-02
7596,4.1370e-01,1.2251e-02
7660,4.1410e-01,1.2109e-02
7725,4.1440e-01,1.1969e-02
7791,4.1470e-01,1.1830e-02
7857,4.1490e-01,1.1691e-02
7923,4.1520e-01,1.1556e-02
7990,4.1550e-01,1.1418e-02
8058,4.1580e-01,1.1282e-02
8126,4.1610e-01,1.1148e-02
8195,4.1640e-01,1.1010e-02
8264,4.1670e-01,1.0880e-02
8334,4.1700e-01,1.0753e-02
8405,4.1730e-01,1.0625e-02
8476,4.1760e-01,1.0499e-02
8548,4.1790e-01,1.0379e-02
8620,4.1810e-01,1.0256e-02
8693,4.1840e-01,1.0137e-02
8766,4.1870e-01,1.0015e-02
8841,4.1900e-01,9.8920e-03
8916,4.1930e-01,9.7750e-03
8991,4.1960e-01,9.6560e-03
9067,4.1980e-01,9.5410e-03
9144,4.2010e-01,9.4280e-03
9221,4.2040e-01,9.3180e-03
9299,4.2060e-01,9.2050e-03
9378,4.2090e-01,9.0950e-03
9457,4.2120e-01,8.9910e-03
9537,4.2150e-01,8.8840e-03
9618,4.2170e-01,8.7800e-03
9700,4.2200e-01,8.6780e-03
9782,4.2230e-01,8.5730e-03
9865,4.2250e-01,8.4720e-03
9948,4.2280e-01,8.3700e-03
10032,4.2310e-01,8.2740e-03
10117,4.2330e-01,8.1760e-03
10203,4.2360e-01,8.0770e-03
10289,4.2390e-01,7.9860e-03
10376,4.2410e-01,7.8930e-03
10464,4.2440e-01,7.8030e-03
10553,4.2460e-01,7.7140e-03
10642,4.2490e-01,7.6240e-03
10732,4.2510e-01,7.5350e-03
10823,4.2540e-01,7.4480e-03
10915,4.2560e-01,7.3600e-03
11007,4.2590e-01,7.2780e-03
11100,4.2610e-01,7.1960e-03
11194,4.2640e-01,7.1090e-03
11289,4.2660e-01,7.0210e-03
11384,4.2690e-01,6.9350e-03
11481,4.2710e-01,6.8500e-03
11578,4.2740e-01,6.7680e-03
11676,4.2760e-01,6.6860e-03
11775,4.2790e-01,6.6010e-03
11875,4.2810e-01,6.5140e-03
11975,4.2840e-01,6.4270e-03
12076,4.2860e-01,6.3410e-03
12179,4.2890e-01,6.2570e-03
12282,4.2910e-01,6.1710e-03
12386,4.2930e-01,6.0910e-03
12491,4.2960e-01,6.0070e-03
12596,4.2980e-01,5.9220e-03
12703,4.3010e-01,5.8370e-03
12810,4.3030e-01,5.7550e-03
12919,4.3060e-01,5.6680e-03
13028,4.3080e-01,5.5880e-03
13139,4.3100e-01,5.5100e-03
13250,4.3130e-01,5.4320e-03
13362,4.3150e-01,5.3580e-03
13475,4.3180e-01,5.2880e-03
13589,4.3200e-01,5.2190e-03
13704,4.3220e-01,5.1510e-03
13820,4.3240e-01,5.0870e-03
13937,4.3270e-01,5.0180e-03
14055,4.3290e-01,4.9550e-03
14174,4.3320e-01,4.8910e-03
14294,4.3340e-01,4.8290e-03
14415,4.3360e-01,4.7670e-03
14537,4.3390e-01,4.7070e-03
14660,4.3410e-01,4.6510e-03
14784,4.3430e-01,4.5940e-03
14909,4.3450e-01,4.5410e-03
15036,4.3480e-01,4.4850e-03
15163,4.3500e-01,4.4290e-03
15291,4.3520e-01,4.3750e-03
15421,4.3550e-01,4.3210e-03
15551,4.3570e-01,4.2700e-03
15683,4.3600e-01,4.2120e-03
15816,4.3620e-01,4.1610e-03
15950,4.3650e-01,4.1090e-03
16085,4.3680e-01,4.0580e-03
16221,4.3700e-01,4.0040e-03
16358,4.3730e-01,3.9530e-03
16497,4.3750e-01,3.9020e-03
16636,4.3780e-01,3.8540e-03
16777,4.3810e-01,3.8010e-03
16919,4.3830e-01,3.7490e-03
17062,4.3860e-01,3.7010e-03
17207,4.3880e-01,3.6530e-03
17352,4.3910e-01,3.6060e-03
17499,4.3940e-01,3.5590e-03
17647,4.3960e-01,3.5120e-03
17797,4.3990e-01,3.4710e-03
17947,4.4010e-01,3.4260e-03
18099,4.4040e-01,3.3855e-03
18253,4.4060e-01,3.3402e-03
18407,4.4080e-01,3.2990e-03
18563,4.4110e-01,3.2565e-03
18720,4.4130e-01,3.2155e-03
18879,4.4160e-01,3.1742e-03
19038,4.4180e-01,3.1388e-03
19200,4.4210e-01,3.0970e-03
19362,4.4230e-01,3.0645e-03
19526,4.4250e-01,3.0240e-03
19691,4.4280e-01,2.9882e-03
19858,4.4300e-01,2.9525e-03
20026,4.4320e-01,2.9110e-03
20196,4.4350e-01,2.8772e-03
20367,4.4370e-01,2.8419e-03
20539,4.4400e-01,2.8063e-03
20713,4.4420e-01,2.7708e-03
20888,4.4440e-01,2.7366e-03
21065,4.4470e-01,2.7002e-03
21243,4.4490e-01,2.6695e-03
21423,4.4520e-01,2.6357e-03
21604,4.4540e-01,2.6034e-03
21787,4.4570e-01,2.5679e-03
21972,4.4590e-01,2.5385e-03
22158,4.4610e-01,2.5056e-03
22345,4.4640e-01,2.4742e-03
22535,4.4660e-01,2.4450e-03
22725,4.4680e-01,2.4143e-03
22918,4.4710e-01,2.3867e-03
23112,4.4730e-01,2.3552e-03
23307,4.4750e-01,2.3255e-03
23505,4.4780e-01,2.2957e-03
23704,4.4800e-01,2.2696e-03
23904,4.4820e-01,2.2408e-03
24107,4.4850e-01,2.2148e-03
24311,4.4870e-01,2.1898e-03
24516,4.4890e-01,2.1632e-03
24724,4.4910e-01,2.1362e-03
24933,4.4940e-01,2.1118e-03
25144,4.4960e-01,2.0870e-03
