step,ssim_score,loss
7344,4.2000e-01,7.5690e-03
7406,4.2030e-01,7.4730e-03
7469,4.2060e-01,7.3790e-03
7532,4.2090e-01,7.2860e-03
7596,4.2120e-01,7.1950e-03
7660,4.2150e-01,7.1070e-03
7725,4.2180e-01,7.0170e-03
7791,4.2210e-01,6.9290e-03
7857,4.2240e-01,6.8410e-03
7923,4.2270e-01,6.7540e-03
7990,4.2300e-01,6.6680e-03
8058,4.2330e-01,6.5820e-03
8126,4.2360e-01,6.4990e-03
8195,4.2390e-01,6.4130e-03
8264,4.2420e-01,6.3320e-03
8334,4.2440e-01,6.2490e-03
8405,4.2470e-01,6.1660e-03
8476,4.2500e-01,6.0840e-03
8548,4.2530e-01,6.0020e-03
8620,4.2560e-01,5.9220e-03
8693,4.2580e-01,5.8450e-03
8766,4.2610e-01,5.7660e-03
8841,4.2640e-01,5.6890e-03
8916,4.2660e-01,5.6150e-03
8991,4.2690e-01,5.5420e-03
9067,4.2720e-01,5.4730e-03
9144,4.2740e-01,5.4070e-03
9221,4.2770e-01,5.3400e-03
9299,4.2800e-01,5.2750e-03
9378,4.2820e-01,5.2070e-03
9457,4.2850e-01,5.1450e-03
9537,4.2880e-01,5.0810e-03
9618,4.2910e-01,5.0170e-03
9700,4.2930e-01,4.9560e-03
9782,4.2960e-01,4.8950e-03
9865,4.2980e-01,4.8380e-03
9948,4.3010e-01,4.7820e-03
10032,4.3040e-01,4.7260e-03
10117,4.3060e-01,4.6710e-03
10203,4.3090e-01,4.6170e-03
10289,4.3110e-01,4.5660e-03
10376,4.3140e-01,4.5140e-03
10464,4.3160e-01,4.4650e-03
10553,4.3190e-01,4.4140e-03
10642,4.3220e-01,4.3660e-03
10732,4.3240e-01,4.3160e-03
10823,4.3270e-01,4.2660e-03
10915,4.3300e-01,4.2180e-03
11007,4.3320e-01,4.1710e-03
11100,4.3350e-01,4.1250e-03
11194,4.3370e-01,4.0790e-03
11289,4.3400e-01,4.0340e-03
11384,4.3430e-01,3.9890e-03
11481,4.3450e-01,3.9440e-03
11578,4.3470e-01,3.9010e-03
11676,4.3500e-01,3.8570e-03
11775,4.3530e-01,3.8140e-03
11875,4.3550e-01,3.7720e-03
11975,4.3580e-01,3.7300e-03
12076,4.3600e-01,3.6890e-03
12179,4.3630e-01,3.6480e-03
12282,4.3650e-01,3.6080e-03
12386,4.3680e-01,3.5680e-03
12491,4.3700e-01,3.5290e-03
12596,4.3720e-01,3.4910e-03
12703,4.3750e-01,3.4500e-03
12810,4.3780e-01,3.4110e-03
12919,4.3800e-01,3.3720e-03
13028,4.3830e-01,3.3340e-03
13139,4.3850e-01,3.2960e-03
13250,4.3870e-01,3.2590e-03
13362,4.3900e-01,3.2220e-03
13475,4.3920e-01,3.1860e-03
13589,4.3950e-01,3.1500e-03
13704,4.3970e-01,3.1150e-03
13820,4.4000e-01,3.0800e-03
13937,4.4020e-01,3.0460e-03
14055,4.4050e-01,3.0120e-03
14174,4.4070e-01,2.9790e-03
14294,4.4100e-01,2.9460e-03
14415,4.4120e-01,2.9140e-03
14537,4.4150e-01,2.8820e-03
14660,4.4170e-01,2.8500e-03
14784,4.4190e-01,2.8180e-03
14909,4.4220e-01,2.7870e-03
15036,4.4240e-01,2.7560e-03
15163,4.4270e-01,2.7260e-03
15291,4.4290e-01,2.6970e-03
15421,4.4320e-01,2.6670e-03
15551,4.4340e-01,2.6380e-03
15683,4.4360e-01,2.6100e-03
15816,4.4390e-01,2.5810e-03
15950,4.4410e-01,2.5520e-03
16085,4.4440e-01,2.5240e-03
16221,4.4460e-01,2.4960e-03
16358,4.4480e-01,2.4680e-03
16497,4.4510e-01,2.4410e-03
16636,4.4530e-01,2.4140e-03
16777,4.4560e-01,2.3870e-03
16919,4.4580e-01,2.3600e-03
17062,4.4600e-01,2.3350e-03
17207,4.4630e-01,2.3100e-03
17352,4.4650e-01,2.2860e-03
17499,4.4670e-01,2.2620e-03
17647,4.4690e-01,2.2390e-03
17797,4.4720e-01,2.2150e-03
17947,4.4740e-01,2.1910e-03
18099,4.4760e-01,2.1670e-03
18253,4.4780e-01,2.1440e-03
18407,4.4810e-01,2.1210e-03
18563,4.4830e-01,2.0960e-03
18720,4.4850e-01,2.0710e-03
18879,4.4870e-01,2.0470e-03
19038,4.4890e-01,2.0250e-03
19200,4.4910e-01,2.0030e-03
19362,4.4930e-01,1.9830e-03
19526,4.4950e-01,1.9640e-03
19691,4.4970e-01,1.9440e-03
19858,4.4990e-01,1.9250e-03
20026,4.5010e-01,1.9060e-03
20196,4.5030e-01,1.8870e-03
20367,4.5050e-01,1.8690e-03
20539,4.5070e-01,1.8510e-03
20713,4.5090e-01,1.8330e-03
20888,4.5110e-01,1.8160e-03
21065,4.5130e-01,1.7990e-03
21243,4.5150e-01,1.7820e-03
21423,4.5180e-01,1.7650e-03
21604,4.5200e-01,1.7480e-03
21787,4.5220e-01,1.7310e-03
21972,4.5240e-01,1.7140e-03
22158,4.5260e-01,1.6970e-03
22345,4.5280e-01,1.6810e-03
22535,4.5300e-01,1.6650e-03
22725,4.5320e-01,1.6490e-03
22918,4.5340e-01,1.6340e-03
23112,4.5360e-01,1.6180e-03
23307,4.5380e-01,1.6020e-03
23505,4.5400e-01,1.5860e-03
23704,4.5420e-01,1.5710e-03
23904,4.5440e-01,1.5550e-03
24107,4.5460e-01,1.5400e-03
24311,4.5480e-01,1.5250e-03
24516,4.5500e-01,1.5100e-03
24724,4.5520e-01,1.4950e-03
24933,4.5540e-01,1.4810e-03
25144,4.5550e-01,1.4660e-03
